id_from,id_to,from,to,rel,公开时间,数据来源,采购占比,采购金额万元
13,264,天齐锂业,厦门钨业,供应商,2011-03,供应商公告,-,985.9
13,302,天齐锂业,当升科技,供应商,2011-03,供应商公告,-,4020.33
92,35,赢合科技,保力新,供应商,2017-08,供应商公告,-,15582.89
92,66,赢合科技,珠海冠宇,供应商,2021-06,年报,3.2%,1.89
195,66,璞泰来,珠海冠宇,供应商,2021-06,供应商公告,-,2.63
195,266,璞泰来,宁德时代,供应商,2017-10,供应商公告,-,14412.51
146,140,金银河,鹏辉能源,供应商,2017-01,供应商公告,-,-
233,266,先导智能,宁德时代,供应商,2018-05,招股书,4.18%,50220.04
96,194,新宙邦,派能科技,供应商,2020-12,年报,4.94%,494.87
141,140,天赐材料,鹏辉能源,供应商,2015-04,供应商公告,-,0.06
225,102,天奈科技,比亚迪,供应商,2019-09,供应商公告,-,6107.96
225,266,天奈科技,宁德时代,供应商,2019-03,供应商公告,-,2686.22
225,35,天奈科技,保力新,供应商,2019-12,供应商公告,-,-
167,266,杉杉股份,宁德时代,供应商,2018-05,招股书,3.19%,16113.96
167,66,杉杉股份,珠海冠宇,供应商,2021-06,供应商公告,-,2.26
23,13,盛新锂能,天齐锂业,供应商,2022-04,供应商公告,-,11784.96