name,code,pagerank,up,mid,down,上市日期,注册资本,communityId
天齐锂业,002466.SZ,3.5360625942174293,1,0,1,2010/8/31,164122.16,400
盛新锂能,002240.SZ,1.163680396155765,1,0,1,2008/5/23,91189.59,400
长远锂科,688779.SH,2.166119937143175,1,1,0,2021/8/11,192920.63,105
中科电气,300035.SZ,1.3074784745564392,1,1,0,2009/12/25,72331.08,326
珠海冠宇,688772.SH,2.0884358733829407,1,1,1,2021/10/15,112185.57,105
贝特瑞,835185.BJ,1.8125280447612566,1,1,0,2020/7/27,73656.85,105
翔丰华,300890.SZ,1.6645642225292425,1,1,0,2020/9/17,10783.93,326
赢合科技,300457.SZ,3.1208370027112067,1,1,0,2015/5/14,64953.8,3556
新宙邦,300037.SZ,2.2129260347854975,1,1,0,2010/1/8,74569.4,96
比亚迪,002594.SZ,3.8086424330254256,1,1,1,2011/6/30,291114.29,102
亿纬锂能,300014.SZ,3.2447861943784218,1,1,1,2009/10/30,204572.15,396
鹏辉能源,300438.SZ,2.8612253582606906,1,1,1,2015/4/24,46129.2,396
天赐材料,002709.SZ,2.321086055921059,1,1,0,2014/1/23,192665.61,412
融捷股份,002192.SZ,2.0565121644688626,1,0,0,2007/12/5,25965.52,400
科达制造,600499.SH,1.3963609735069773,1,1,0,2002/10/10,194841.99,326
金银河,300619.SZ,1.998978923930793,1,0,0,2017/3/1,8865.5,3556
永太科技,002326.SZ,0.9930990900763166,1,1,0,2009/12/22,87656.63,96
杉杉股份,600884.SH,2.82570247372897,1,1,0,1996/1/30,226397.34,553
南都电源,300068.SZ,1.4424557937192077,1,1,1,2010/4/21,86487.09,396
璞泰来,603659.SH,2.3953884516493744,1,1,0,2017/11/3,139083.0,326
江特电机,002176.SZ,1.53395915156551,1,0,1,2007/10/12,170632.56,400
赣锋锂业,002460.SZ,3.1639348342022084,1,1,0,2010/8/10,201710.35,400
天奈科技,688116.SH,1.473408872915974,1,1,0,2019/9/25,23252.11,326
先导智能,300450.SZ,2.6604218831574613,1,0,1,2015/5/18,156616.3,3556
厦钨新能,688778.SH,1.5773196414690938,1,1,0,2021/8/5,30055.07,105
宁德时代,300750.SZ,6.131722089977023,1,1,1,2018/6/11,244251.45,543
国轩高科,002074.SZ,2.6322526504466515,1,1,1,2006/10/18,177887.48,539
多氟多,002407.SZ,2.328304647308143,1,1,0,2010/5/18,76602.36,96
尚太科技,001301.SZ,1.0527123461921724,1,1,0,2022/12/28,25977.46,326
当升科技,300073.SZ,2.5670544576292893,1,1,0,2010/4/27,50650.08,105
中矿资源,002738.SZ,0.8052981440957896,1,1,0,2014/12/30,46161.79,466
宝泰隆,601011.SH,1.562316990506686,1,1,0,2011/3/9,191566.45,326